locality name,Price Range,Q/Q,trends,one bedroom,two bedroom,three bedroom
Asha Nagar,"Rs. 15,980 - 17,978/sq. ft.",3.63%  ,See Trends,"Rs. 18,232 - 19,635","Rs. 29,750 - 32,725",-
Battipada,-,-,Not Available,"Rs. 16,575 - 17,850","Rs. 20,442 - 23,758",-
Bhandup (East),"Rs. 13,260 - 15,258/sq. ft.",1.83%  ,See Trends,"Rs. 18,700 - 21,972","Rs. 35,700 - 40,162","Rs. 48,620 - 54,698"
Bhandup (West),"Rs. 12,155 - 14,152/sq. ft.",0%     ,See Trends,"Rs. 19,686 - 22,147","Rs. 28,886 - 32,898","Rs. 40,672 - 45,602"
BSNL Colony,-,-,Not Available,-,"Rs. 36,679 - 38,208",-
Chandivali,"Rs. 15,342 - 17,042/sq. ft.",1.31%  ,See Trends,"Rs. 24,310 - 28,050","Rs. 40,637 - 44,870","Rs. 54,740 - 60,690"
Chunabhatti,-,-,Not Available,"Rs. 21,038 - 23,375","Rs. 34,850 - 38,250",-
Chunabhatti East,-,-,Not Available,"Rs. 21,250 - 25,500","Rs. 29,452 - 32,258",-
Datar Colony,"Rs. 12,962 - 13,515/sq. ft.",-2.22%  ,See Trends,"Rs. 17,140 - 18,993",-,-
Deendayal Nagar,-,-,Not Available,-,"Rs. 25,160 - 27,200",-
Dina Bama Estate,"Rs. 15,342 - 16,490/sq. ft.",-0.8%  ,See Trends,"Rs. 22,147 - 24,608","Rs. 28,144 - 30,762",-
Friends Colony,"Rs. 11,688 - 13,982/sq. ft.",-,Not Available,"Rs. 15,750 - 17,140",-,-
Ganesh Nagar,"Rs. 13,302 - 14,578/sq. ft.",-0.3%  ,See Trends,"Rs. 20,248 - 23,211","Rs. 31,178 - 35,075","Rs. 34,680 - 36,720"
Garodia Nagar,"Rs. 17,000 - 20,400/sq. ft.",3.34%  ,See Trends,"Rs. 22,552 - 24,602","Rs. 29,750 - 36,444",-
Gavanpada,"Rs. 13,388 - 15,088/sq. ft.",-10.08%  ,See Trends,"Rs. 17,769 - 20,170",-,-
Ghatkopar (East),"Rs. 15,810 - 20,442/sq. ft.",4.89%  ,See Trends,"Rs. 21,420 - 24,990","Rs. 35,726 - 41,283","Rs. 54,740 - 63,070"
Ghatkopar West,"Rs. 15,045 - 17,510/sq. ft.",0.8%  ,See Trends,"Rs. 20,285 - 23,116","Rs. 39,015 - 44,217","Rs. 57,242 - 62,220"
Govind Nagar,"Rs. 14,110 - 16,320/sq. ft.",-,Not Available,"Rs. 21,373 - 21,828","Rs. 27,843 - 30,773",-
Hallow Pul,-,-,Not Available,"Rs. 19,283 - 21,820",-,-
